birth cohort to highlight,1947-1951,1952-1956,1957-1961,1962-1966,1967-1971,1972-1976,1977-1981,1982-1986,1987-1991,1992-1996
25-29,58.1,56.4,56.3,50.8,48.6,47.2,44.9,41.9,38,36.6
30-34,71.9,70.3,64.2,64.1,62.8,60.9,56,51.3,51.9,
35-39,77.2,74,72.2,71.9,69.8,66,61.7,62.1,,
40-44,79.3,77.7,76.9,75.3,71.8,68.5,67.7,,,
45-49,81.5,80.5,79.2,76.5,73.3,71.7,,,,
50-54,83.5,82,79.9,77.1,75.3,,,,,
55-59,84.4,82.3,80.1,78.5,,,,,,
60-64,84.2,82.1,81.2,,,,,,,
65-69,84,83.1,,,,,,,,
70-74,84.5,,,,,,,,,